crse_id,class_section,class_nbr,component,subject,catalog_nbr,instruction_mode,acad_org,wait_tot,wait_cap,class_capacity,enrollment_total,enrollment_available,descr,units,enrl_stat,enrl_stat_descr,instructors,section_type,days,start_time,end_time,bldg_cd,facility_descr,room,facility_id,crse_attr,crse_attr_value,reserve_notes,crse_catalog_description,prereq_courses
00001,001,00001,LEC,CSE,101,IP,101-CSC,0,99,30,25,5,Introduction to Computer Science,4,O,Open,Sean|Hopkins,Lecture,MoWeFr,13:10,14:00,005,Computer Science Building,101,005-101,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00002,002,00002,LAB,CSE,101,IP,101-CSC,0,99,30,25,5,Introduction to Computer Science,0,O,Open,Sean|Hopkins,Lab,MoWeFr,14:10,15:00,005,Computer Science Building,101,005-107,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00003,003,00003,LEC,CSE,101,IP,101-CSC,0,99,30,20,10,Introduction to Computer Science,4,O,Open,Jane|Smith,Lecture,TuTh,10:10,11:30,005,Computer Science Building,102,005-102,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00004,004,00004,LAB,CSE,101,IP,101-CSC,0,99,30,20,10,Introduction to Computer Science,0,O,Open,Jane|Smith,Lab,TuTh,11:40,12:30,005,Computer Science Building,102,005-108,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00005,005,00005,LEC,CSE,101,AM,101-CSC,12,99,30,30,0,Introduction to Computer Science,4,O,Wait List,Emily|Johnson,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,GE B,GE B-GE B4,Seats are reserved for new freshman. Any remaining seats will be made available to all students on the first day of the second round of registration.,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00006,006,00006,LEC,CSE,201,IP,101-CSC,12,99,30,30,0,Introduction to Computer Science,4,O,Wait List,Emily|Johnson,Lecture,MoWeFr,13:10,14:00,005,Computer Science Building,201,005-201,,,,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00007,007,00007,LAB,CSE,201,IP,101-CSC,0,99,30,10,20,Introduction to Computer Science,0,O,Open,Emily|Johnson,Lab,MoWeFr,14:10,15:00,005,Computer Science Building,201,005-207,,,,"Introduction to the fundamentals of computer science. Topics include algorithms, data structures, software development, and problem-solving techniques",None
00008,001,00008,LEC,CSE,201,IP,201-CSC,0,99,25,20,5,Data Structures and Algorithms,4,O,Open,Jose|Dalton,Lecture,TuTh,09:10,10:30,005,Computer Science Building,202,005-202,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00009,002,00009,LAB,CSE,201,IP,201-CSC,0,99,25,20,5,Data Structures and Algorithms,0,O,Open,Jose|Dalton,Lab,TuTh,10:40,11:30,005,Computer Science Building,202,005-208,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00010,003,00010,LEC,CSE,201,AM,201-CSC,0,99,25,15,10,Data Structures and Algorithms,4,O,Open,Candy|Norton,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Study of data structures such as lists, stacks, queues, trees, and graphs. Algorithm design and analysis.",CSE 101 with a grade of C or better
00011,001,00011,LEC,CSE,202,IP,202-CSC,0,99,20,15,5,Computer Architecture,4,O,Open,Candy|Norton,Lecture,MoWeFr,11:10,12:00,005,Computer Science Building,203,005-203,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00012,002,00012,LAB,CSE,202,IP,202-CSC,0,99,20,15,5,Computer Architecture,0,O,Open,Candy|Norton,Lab,MoWeFr,12:10,13:00,005,Computer Science Building,203,005-209,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00013,003,00013,LEC,CSE,202,IP,202-CSC,0,99,20,10,10,Computer Architecture,4,O,Open,Joanna|Fink,Lecture,TuTh,14:10,15:30,005,Computer Science Building,204,005-204,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00014,004,00014,LAB,CSE,202,IP,202-CSC,0,99,20,10,10,Computer Architecture,0,O,Open,Joanna|Fink,Lab,TuTh,15:40,16:30,005,Computer Science Building,204,005-210,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00015,005,00015,LEC,CSE,202,AM,202-CSC,0,99,20,10,10,Computer Architecture,4,O,Wait List,Cindy|Mayo,Lecture,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00016,006,00016,LAB,CSE,202,AM,202-CSC,5,99,20,20,0,Computer Architecture,0,O,Wait List,Cindy|Mayo,Lab,NA,00:00,00:00,NA,AM Course,NA,NA,,,,"Introduction to computer architecture including data representation, machine-level programming, and processor design.",CSE 101 with a grade of C or better
00017,001,00017,LEC,CSE,301,IP,301-CSC,0,99,15,10,5,Software Engineering,4,O,Open,Herbert|Fuller,Lecture,MoWeFr,09:10,10:00,005,Computer Science Building,301,005-301,,,,"Study of software engineering principles, methodologies, and tools for designing, developing, and maintaining software systems.",CSE 201 with a grade of C or better
